pickup_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,trip_distance_miles,fare_amount
2023-03-23 01:39:00,40.68108904159657,-73.88864943046204,40.648905788452716,-74.07932571047145,4.0,20.22,60.32
2023-01-19 05:05:00,40.882750007243466,-73.91286275769625,40.710536806678626,-74.10702105532272,5.0,17.34,53.24
2023-07-20 06:29:00,40.80619787963399,-73.9920333726785,40.58472542427187,-74.08792736020278,2.0,14.18,41.51
2023-06-28 07:47:00,40.75953046946896,-73.92805430394675,40.70639295887011,-73.93692977163805,2.0,21.85,63.41
2023-06-12 12:53:00,40.60460652415485,-73.98570651404786,40.62107847237574,-73.75195968987533,2.0,19.47,56.07
2023-04-12 14:36:00,40.60459808211767,-73.85393089903484,40.647158356433614,-74.01085066488363,4.0,6.26,23.48
2023-03-16 15:13:00,40.570329264258866,-73.77423665720282,40.71733939773063,-73.95119040175896,1.0,21.68,62.19
2023-03-05 07:21:00,40.853161651021225,-73.79589750342112,40.86020523733032,-74.13498936653714,1.0,13.67,39.22
2023-11-04 05:37:00,40.76039025411012,-73.9966884094826,40.752442555601654,-73.87996633510312,4.0,25.99,70.57
2023-01-24 03:26:00,40.79782540222861,-73.92076122776793,40.55618384399723,-73.99721015175277,4.0,26.77,80.23
2023-01-22 16:44:00,40.55720457300353,-74.14520466529201,40.60022906915251,-73.8489926249973,1.0,28.26,78.75
2023-03-10 05:26:00,40.88946844825669,-73.75837483734904,40.57216979419593,-73.892815692155,2.0,22.31,61.83
2023-06-09 04:58:00,40.84135492428015,-74.03957187836663,40.61519281475182,-73.82371064933706,6.0,7.86,28.98
2023-06-19 10:02:00,40.6243186887374,-73.95150882763575,40.670282405931275,-73.80140379145821,3.0,8.16,25.95
2023-01-20 07:44:00,40.61363873852248,-74.08135229974148,40.61127153643394,-74.04205893656562,2.0,29.39,87.87
2023-05-25 18:56:00,40.6141915784487,-73.84485114240974,40.711587367817486,-73.92176609366258,6.0,27.12,79.01
2023-11-02 11:38:00,40.656484785035836,-73.90461605448932,40.83846428721166,-73.89884992813974,5.0,15.93,45.72
2023-06-10 12:28:00,40.73366475107128,-73.9858446098057,40.83893989533182,-73.95347404955186,1.0,17.04,50.36
2023-11-24 02:29:00,40.701180756524735,-73.9091628600877,40.66887135799314,-73.97667084588049,5.0,19.41,55.28
